ID;Nombre;Ingredientes;Cocinado;Tiempo;Calorias;Descripcion;Ingredientes;Categorias_App;Subcategorias_App
73C;Crema de calabacín y almendras;(2 uds) Calabacín, (15g) almendras crudas, (1 cda) queso crema, (1 cda) AOVE;Olla y Trituradora;20;210;Cuece los Calabacín troceados. Tritura con el queso crema y las almendras hasta obtener una crema fina. Las almendras aportan una textura muy cremosa y grasas saludables.;AOVE, Almendras, Queso;Grasas, Lácteo;Aceites, Frutos Secos, Quesos
74C;Sopa de calabacín y huevo;(1 ud) calabacín, (250ml) caldo de verduras, (1 ud) huevo duro, (10g) semillas de sésamo;Olla;15;190;Hierve el calabacín en dados en el caldo. Sirve con el huevo duro picado por encima y las semillas de sésamo para un toque crujiente.;calabacín, Caldo, Huevo, Sésamo;Despensa, Grasas, Proteína, Vegetal;Bases, Hortalizas, Huevos, Semillas
75A;Pavo salteado con pimientos y cebolla;(150g) pechuga de pavo, (0.5 ud) pimiento rojo, (0.5 ud) cebolla, (1 cda) AOVE;Sartén;15;320;Corta el pavo y las verduras en tiras. Saltea a fuego fuerte con poco aceite hasta que las verduras estén al dente y el pavo dorado. Condimenta con orégano o pimienta.;AOVE, Cebolla, Pavo, Pimiento;Grasas, Proteína, Vegetal;Aceites, Bulbos, Carnes Blancas, Hortalizas
76A;Brochetas de pavo y champiñones;(150g) pavo, (100g) champiñones enteros pequeños, (0.5 ud) calabacín;Sartén o Plancha;18;300;Ensarta trozos de pavo alternando con champiñones y rodajas de calabacín. Cocina a la plancha girándolas para que se hagan de forma uniforme.;calabacín, Champiñones, Pavo, Piñones;Grasas, Proteína, Vegetal;Carnes Blancas, Frutos Secos, Hortalizas, Setas
75C;Tortilla de espinacas y queso de cabra;(2 uds) huevos, (100g) Espinacas, (30g) queso de cabra, (1 cda) AOVE;Sartén;12;270;Saltea las espinacas hasta que reduzcan. Añade los huevos batidos y el queso de cabra desmenuzado. Cuaja la tortilla dejando el centro jugoso.;AOVE, Espinacas, Huevo, Queso;Grasas, Lácteo, Proteína, Vegetal;Aceites, Hoja Verde, Huevos, Quesos
76C;Revuelto de espinacas y jamón;(2 uds) huevos, (100g) espinacas, (30g) jamón serrano, (1 cda) AOVE;Sartén;10;250;Saltea las espinacas con el jamón picado. Añade los huevos y remueve suavemente para que el revuelto quede cremoso y no se seque.;AOVE, Espinacas, Huevo;Grasas, Proteína, Vegetal;Aceites, Hoja Verde, Huevos
77A;Atún a la plancha con ensalada de tomate;(150g) atún fresco, (2 uds) tomates, (0.5 ud) cebolla, (1 cda) AOVE;Sartén;12;380;Cocina el atún a la plancha (vuelta y vuelta para que no se seque). Sirve con una ensalada de tomate y cebolla morada aliñada con aceite y orégano.;AOVE, Atún, Cebolla, Tomate;Grasas, Proteína, Vegetal;Aceites, Bulbos, Hortalizas, Pescado Azul
78A;Atún salteado con pimientos;(150g) atún a dados, (1 ud) pimiento verde, (1 ud) pimiento rojo, (1 cda) AOVE;Sartén;15;360;Saltea los pimientos en tiras. Cuando estén tiernos, añade los dados de atún y cocina a fuego fuerte durante 2-3 minutos. El interior debe quedar jugoso.;AOVE, Atún, Pimiento;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Pescado Azul
77C;Crema de verduras variadas;(1 ud) calabacín, (2 uds) zanahorias, (1 ud) puerro, (1 cda) queso crema;Olla y Trituradora;25;210;Limpia y trocea todas las verduras. Cuécelas con el agua justa durante 20 min. Tritura con el queso crema hasta obtener una textura suave y homogénea.;calabacín, Puerro, Queso, Zanahoria;Lácteo, Vegetal;Bulbos, Hortalizas, Quesos
78C;Sopa de verduras y pollo;(1 ud) zanahoria, (1 ud) puerro, (100g) pollo desmenuzado, (250ml) caldo;Olla;20;230;Corta las verduras muy finas y cuécelas en el caldo. Añade el pollo ya cocinado al final para que coja temperatura. Una cena reconfortante y muy ligera.;Caldo, Pollo, Puerro, Zanahoria;Despensa, Proteína, Vegetal;Bases, Bulbos, Carnes Blancas, Hortalizas
79A;Pollo al curry con verduras;(150g) pechuga de pollo, (100g) brócoli, (1 ud) zanahoria, (50ml) leche de coco, (1 cda) curry;Sartén;20;350;Saltea el pollo y las verduras. Añade el curry y la leche de coco. Deja que reduzca a fuego lento hasta que la salsa espese y los sabores se integren.;Brócoli, Col, Leche, Pollo, Zanahoria;Despensa, Proteína, Vegetal;Carnes Blancas, Crucíferas, Hortalizas, Líquidos
80A;Pollo con piña y pimientos;(150g) pollo, (2 rodajas) piña natural, (1 ud) pimiento rojo, (1 cda) AOVE;Sartén;15;330;Corta el pollo, la piña y el pimiento en dados. Saltéalo todo junto a fuego fuerte. La piña aporta una enzima llamada bromelina que ayuda a la digestión.;AOVE, Pimiento, Piña, Pollo;Fruta, Grasas, Proteína, Vegetal;Aceites, Carnes Blancas, Hortalizas, Ãcida
79C;Tortilla de berenjena y cebolla;(2 uds) huevos, (0.5 ud) berenjena, (0.25 ud) cebolla, (1 cda) AOVE;Sartén;15;250;Pica la cebolla y la berenjena en dados pequeños. Póchalos en la Sartén hasta que estén muy tiernos. Añade los huevos batidos y cuaja la tortilla por ambos lados.;AOVE, Berenjena, Cebolla, Huevo;Grasas, Proteína, Vegetal;Aceites, Bulbos, Hortalizas, Huevos
80C;Revuelto de berenjena y jamón;(2 uds) huevos, (0.5 ud) berenjena, (30g) jamón serrano, (1 cda) AOVE;Sartén;12;240;Saltea la berenjena hasta que esté blanda. Añade el jamón y los huevos. Remueve constantemente para obtener un revuelto jugoso.;AOVE, Berenjena, Huevo;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Huevos
81A;Dorada al horno con verduras;(1 ud) dorada, (1 ud) zanahoria, (1 ud) cebolla, (1 cda) AOVE, (al gusto) limón;Horno;25;320;Coloca la dorada sobre una cama de zanahoria y cebolla en juliana. Añade el zumo de limón y aceite. Hornea a 190 grados durante 20 minutos hasta que el pescado esté en su punto.;AOVE, Cebolla, Dorada, limón, Zanahoria;Fruta, Grasas, Proteína, Vegetal;Aceites, Bulbos, Cítrico, Hortalizas, Pescado Blanco
82A;Lubina a la plancha con ensalada;(1 ud) lubina, (1 puñado) rúcula, (10g) nueces, (1 cda) AOVE;Sartén;15;310;Cocina los filetes de lubina a la plancha por el lado de la piel hasta que esté crujiente. Sirve con una ensalada de rúcula y nueces picadas para aportar Omega-3.;AOVE, Lubina, Nueces, Rúcula;Grasas, Proteína, Vegetal;Aceites, Frutos Secos, Hoja Verde, Pescado Blanco
81C;Crema de coliflor y cúrcuma;(200g) coliflor, (1 ud) patata pequeña, (1 cda) cúrcuma, (1 cda) queso crema;Olla y Trituradora;20;190;Cuece la coliflor y la patata. Tritura con el queso crema y añade la cúrcuma al final. La cúrcuma es el antiinflamatorio natural por excelencia.;Col, Coliflor, Patata, Queso;Carbohidrato, Lácteo, Vegetal;Crucíferas, Quesos, Tubérculos
82C;Sopa de coliflor y jamón;(200g) coliflor, (30g) jamón serrano, (250ml) caldo de verduras, (1 cda) pimentón;Olla;15;210;Hierve la coliflor en el caldo. Cuando esté blanda, añade el jamón picado y una pizca de pimentón. Puedes chafar la coliflor un poco para darle más cuerpo al caldo.;Caldo, Col, Coliflor;Despensa, Vegetal;Bases, Crucíferas
83A;Solomillo de pavo con champiñones;(150g) solomillo de pavo, (100g) champiñones, (1 diente) ajo, (1 cda) AOVE;Sartén;15;300;Corta el pavo en medallones y los champiñones en láminas. Saltea el ajo y añade el resto de ingredientes a fuego fuerte hasta que el pavo esté bien cocinado.;AOVE, Ajo, Champiñones, Pavo, Piñones;Grasas, Proteína, Vegetal;Aceites, Bulbos, Carnes Blancas, Frutos Secos, Setas
84A;Pavo salteado con brócoli y sésamo;(150g) pavo, (100g) brócoli, (1 cda) semillas de sésamo, (1 cda) soja;Sartén;12;320;Saltea el pavo con el brócoli (previamente cocido al dente). Añade la soja y termina espolvoreando las semillas de sésamo para dar textura.;Brócoli, Col, Pavo, Soja, Sésamo;Despensa, Grasas, Proteína, Vegetal;Carnes Blancas, Crucíferas, Salsas, Semillas
83C;Tortilla de calabacín y champiñones;(2 uds) huevos, (0.5 ud) calabacín, (50g) champiñones, (1 cda) AOVE;Sartén;12;260;Saltea el calabacín rallado y los champiñones picados. Añade los huevos batidos y cuaja la tortilla. Es una cena con mucha agua y fibra, muy saciante.;AOVE, calabacín, Champiñones, Huevo, Piñones;Grasas, Proteína, Vegetal;Aceites, Frutos Secos, Hortalizas, Huevos, Setas
84C;Revuelto de setas y calabacín;(2 uds) huevos, (100g) setas, (0.5 ud) calabacín, (1 cda) AOVE;Sartén;10;240;Saltea las setas y el calabacín en dados. Añade los huevos y remueve suavemente para que quede jugoso. Condimenta con un poco de pimienta blanca.;AOVE, calabacín, Huevo, Setas;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Huevos, Setas
85A;Ensalada de lentejas y aguacate;(100g) lentejas cocidas, (0.5 ud) aguacate, (1 ud) tomate, (0.5 ud) cebolla, (1 cda) AOVE;Ensamblaje;10;390;Mezcla las lentejas lavadas con el aguacate y el tomate en dados. El aguacate aporta la grasa saludable necesaria para absorber las vitaminas de las lentejas.;AOVE, Aguacate, Cebolla, Lentejas, Tomate;Fruta, Grasas, Proteína, Vegetal;Aceites, Bulbos, Grasas, Hortalizas, Legumbres
86A;Hummus de lentejas con pimiento;(100g) lentejas cocidas, (1 cda) tahini, (0.5 ud) limón, (1 ud) pimiento rojo;Trituradora;10;350;Tritura las lentejas con el tahini y el limón. Usa el pimiento rojo crudo cortado en tiras para dipear. Una opción rica en hierro y vitamina C.;Lentejas, limón, Pimiento;Fruta, Proteína, Vegetal;Cítrico, Hortalizas, Legumbres
85C;Crema de calabaza y zanahoria;(200g) calabaza, (2 uds) zanahorias, (1 cda) queso crema, (1 pizca) jengibre;Olla y Trituradora;22;210;Cuece los vegetales y tritura con el queso crema. El jengibre le da un toque termogénico que ayuda a la digestión nocturna.;Calabaza, Queso, Zanahoria;Lácteo, Vegetal;Hortalizas, Quesos
86C;Sopa de calabaza y semillas de chía;(200g) calabaza, (250ml) caldo verduras, (1 cda) semillas de chía, (1 ud) huevo duro;Olla;18;230;Cocina la sopa de calabaza y añade las semillas de chía al final para que hidraten. Acompaña con el huevo duro picado.;Calabaza, Caldo, Chía, Huevo;Despensa, Grasas, Proteína, Vegetal;Bases, Hortalizas, Huevos, Semillas
87A;Salmón al horno con costra de hierbas;(150g) salmón, (1 cda) mezcla de hierbas provenzales, (100g) judías verdes, (1 cda) AOVE;Horno;15;410;Cubre el salmón con las hierbas y hornea 12 min. Sirve con las judías verdes al vapor. El salmón cierra el ciclo con su potente carga de Omega-3.;AOVE, Salmón;Grasas, Proteína;Aceites, Pescado Azul
88A;Salmón a la plancha con espárragos;(150g) salmón, (100g) espárragos, (1 cda) sésamo;Sartén;12;390;Cocina el salmón y los espárragos a la plancha. Espolvorea sésamo al final para un toque mineral extra.;espárragos, Salmón, Sésamo;Grasas, Proteína, Vegetal;Pescado Azul, Semillas, Tallos
87C;Tortilla de espinacas y gambas;(2 uds) huevos, (100g) espinacas, (60g) gambas, (1 cda) AOVE;Sartén;10;260;Saltea espinacas y gambas. Añade los huevos y cuaja la tortilla. Ligera, proteica y perfecta para el descanso.;AOVE, Espinacas, Gambas, Huevo;Grasas, Proteína, Vegetal;Aceites, Hoja Verde, Huevos, Marisco
88C;Revuelto de espinacas y queso de cabra;(2 uds) huevos, (100g) espinacas, (30g) queso de cabra;Sartén;8;250;Saltea las espinacas, añade los huevos y el queso al final para que se funda ligeramente.;Espinacas, Huevo, Queso;Lácteo, Proteína, Vegetal;Hoja Verde, Huevos, Quesos
89A;Pechuga de pollo con puré de manzana;(150g) pollo, (2 uds) manzanas, (1 pizca) canela;Sartén y Olla;25;340;Haz el pollo a la plancha y acompáñalo del puré de manzana casero (manzana cocida y triturada).;Manzana, Pollo;Fruta, Proteína;Carnes Blancas, Dulce
90A;Pollo salteado con verduras;(150g) pollo, (200g) verduras variadas, (1 cda) AOVE;Sartén;15;320;Saltea el pollo con las verduras que tengas en la nevera para cerrar el plan aprovechando existencias.;AOVE, Pollo;Grasas, Proteína;Aceites, Carnes Blancas
89C;Tortilla especial;(2 uds) huevos, (0.5 ud) calabacín, (30g) jamón, (20g) queso;Sartén;12;280;Una tortilla completa con todos los ingredientes clave del plan antiinflamatorio.;calabacín, Huevo, Queso;Lácteo, Proteína, Vegetal;Hortalizas, Huevos, Quesos
90C;Crema depurativa;(1 ud) puerro, (1 ud) rama apio, (1 ud) calabacín, (1 cda) AOVE;Olla;20;160;Una crema muy ligera de puerro, apio y calabacín para terminar los 90 días con el sistema digestivo reseteado.;AOVE, calabacín, Puerro;Grasas, Vegetal;Aceites, Bulbos, Hortalizas
91A;Pollo con salsa de espárragos y albahaca;(150g) pechuga de pollo, (100g) espárragos, (1 cda) queso crema o feta, (15g) almendras, (unas hojas) albahaca fresca, (1 diente) ajo, (1 cda) AOVE;Sartén y Trituradora;10;340;Tritura los espárragos (sin puntas) con queso, almendras, ajo y albahaca. Cocina el pollo y las puntas de espárragos a la Sartén. Sirve el pollo con la salsa encima.;AOVE, Ajo, Almendras, espárragos, Pollo, Queso;Grasas, Lácteo, Proteína, Vegetal;Aceites, Bulbos, Carnes Blancas, Frutos Secos, Quesos, Tallos
92A;Pollo al limón;(1 muslo y contramuslo) pollo, (0.5 ud) limón, (1 cda) AOVE, (1 diente) ajo, romero, sal, calabacín, cebolla;Horno;25;360;Exprime medio limón sobre el pollo y pon rodajas encima. Mezcla AOVE con ajo y especias para pintar el pollo. Hornea hasta que esté dorado. Acompaña con verduras.;AOVE, Ajo, calabacín, Cebolla, limón, Pollo;Fruta, Grasas, Proteína, Vegetal;Aceites, Bulbos, Carnes Blancas, Cítrico, Hortalizas
91C;Milhojas de calabacín;(0.5 ud) calabacín grande, (al gusto) tomate triturado, (30g) queso rallado cabra, (3 lonchas) jamón cocido extra, (al gusto) orégano y albahaca;Micro o Horno;15;260;Corta el calabacín en láminas. En un molde de muffins alterna capas de calabacín, tomate, queso y jamón. Cocina 7 min al micro o 10 min al horno/airfryer.;calabacín, Queso, Tomate;Lácteo, Vegetal;Hortalizas, Quesos
92C;Barra de calabacín al microondas;(1 ud) calabacín, (al gusto) tomate, (3 lonchas) jamón, (30g) queso, (al gusto) especias;Microondas;10;240;Corta el calabacín a lo largo, haz cortes y calienta 4 min. Presiona la pulpa, añade tomate, jamón y queso. Calienta 2 min más.;calabacín, Especias, Queso, Tomate;Despensa, Lácteo, Vegetal;Condimentos, Hortalizas, Quesos
93A;Ensalada de lentejas y atún;(100g) lentejas cocidas, (1 ud) tomate, (1 lata) atún natural, (5 uds) aceitunas, (40g) queso feta, (1 puñado) rúcula/canónigos;Ensamblaje;5;380;Mezcla lentejas, tomate troceado, atún, aceitunas y feta. Prepara una salsa con cebolla rallada, ralladura/zumo de Cítricos y AOVE. Vierte sobre la ensalada.;Aceitunas, Atún, Canónigos, Lentejas, Queso, Rúcula, Tomate;Grasas, Lácteo, Proteína, Vegetal;Frutos, Hoja Verde, Hortalizas, Legumbres, Pescado Azul, Quesos
94A;Ensalada de garbanzos y langostinos;(100g) garbanzos, (1 ud) tomate, (5 uds) langostinos, (40g) queso feta, (1 puñado) rúcula, (3 uds) aceitunas;Ensamblaje;5;370;Mezcla los garbanzos con los langostinos, el tomate y el queso feta sobre una base de rúcula. Aliña al gusto.;Aceitunas, Garbanzos, Langostinos, Queso, Rúcula, Tomate;Grasas, Lácteo, Proteína, Vegetal;Frutos, Hoja Verde, Hortalizas, Legumbres, Marisco, Quesos
93C;Bocado de alcachofa y jamón;(8 uds) alcachofas de bote, (6 lonchas) jamón serrano, (50g) queso de cabra;Airfryer o Horno;15;290;Haz un hueco en las alcachofas, pon queso en el centro y enrolla con media loncha de jamón. Cocina 10 min en airfryer o 15 min al horno a 180 grados.;Alcachofas, Queso;Lácteo, Vegetal;Hortalizas, Quesos
94C;Alcachofas a la plancha con aguacate;(8 uds) alcachofas, (100g) jamón serrano, (0.5 ud) aguacate, (al gusto) limón y ajo;Sartén;10;310;Saltea las alcachofas con el jamón. Aparte, machaca el aguacate con limón y ajo. Sirve la mezcla de aguacate sobre las alcachofas calientes.;Aguacate, Ajo, Alcachofas, limón;Fruta, Vegetal;Bulbos, Cítrico, Grasas, Hortalizas
95A;Champiñones rellenos con jamón y queso;(4 uds) champiñones grandes, (100g) jamón serrano, (15g) queso roquefort, (30g) mozzarella rallada, (1 cda) AOVE;Horno o Micro;10;290;Limpia los champiñones y quita el tronco. Rellena con mozzarella, jamón y roquefort. Cocina 7 min al microondas a máxima potencia o 15 min al horno.;AOVE, Champiñones, Piñones, Queso;Grasas, Lácteo, Vegetal;Aceites, Frutos Secos, Quesos, Setas
96A;Tomate relleno;(2 uds) tomates pequeños, (1 ud) mozzarella, (1 loncha) jamón serrano, (al gusto) albahaca;Horno;15;270;Vacía los tomates con una cuchara. Rellena con la pulpa picada, mozzarella, jamón y especias. Hornea hasta que el queso gratine.;Tomate;Vegetal;Hortalizas
95C;Hojas de lechuga con pollo y aguacate;(120g) pechuga de pollo, (1 ud) cogollo de lechuga, (0.5 ud) aguacate, (2 cdas) tomate triturado, (0.5 ud) cebolla;Sartén;15;310;"Saltea las verduras finas con el pollo y tomate. Usa las hojas de cogollo como ""tacos"" y rellena con la mezcla y el aguacate encima.";Aguacate, Cebolla, Lechuga, Pollo, Tomate;Fruta, Proteína, Vegetal;Bulbos, Carnes Blancas, Grasas, Hoja Verde, Hortalizas
96C;Ensalada de pollo y queso de cabra;(150g) pollo, (60g) queso fresco cabra, (0.25 ud) aguacate, (1 puñado) canónigos;Ensamblaje;10;330;Mezcla los canónigos con el pollo a la plancha troceado, el queso y el aguacate. Puedes usar salsa de miel y mostaza (mostaza Dijon + miel).;Aguacate, Canónigos, Pollo, Queso;Fruta, Lácteo, Proteína, Vegetal;Carnes Blancas, Grasas, Hoja Verde, Quesos
97A;Col a la carbonara ligera;(0.5 ud) col, (5 uds) champiñones, (4 lonchas) jamón picado, (50ml) leche evaporada, (50g) queso cabra rallado;Micro y Sartén;15;320;Cocina la col en tiras 10 min al micro. Saltea champiñones y jamón, añade la col y la leche evaporada con el queso hasta que espese.;Champiñones, Col, Leche, Piñones, Queso;Despensa, Grasas, Lácteo, Vegetal;Crucíferas, Frutos Secos, Líquidos, Quesos, Setas
98A;Ensalada de col completa;(0.5 ud) col, (100g) champiñones, (3 lonchas) jamón cocido, (0.5 ud) aguacate, (1 cda) maíz;Ensamblaje;10;310;Mezcla la col cruda picada con el resto de ingredientes. Una opción crujiente y muy saciante.;Aguacate, Champiñones, Col, Piñones;Fruta, Grasas, Vegetal;Crucíferas, Frutos Secos, Grasas, Setas
97C;Tortilla pizza de calabacín y zanahoria;(2 uds) huevos, (0.25 ud) calabacín, (1 ud) zanahoria, (1 lata) atún, (2 lonchas) queso;Sartén;15;340;Mezcla huevos con zanahoria y calabacín picados. Haz una tortilla, dale la vuelta y pon encima el atún, el queso y tomate. Tapa para fundir.;Atún, calabacín, Huevo, Queso, Zanahoria;Lácteo, Proteína, Vegetal;Hortalizas, Huevos, Pescado Azul, Quesos
98C;Hamburguesa con zanahoria;(120g) ternera, (2 uds) zanahorias, (1 cda) parmesano, (1 cda) vinagre de manzana;Sartén;15;350;Haz la hamburguesa a la plancha. Acompaña con la zanahoria picada y aliñada con el parmesano, aceite y vinagre.;Manzana, Ternera, Zanahoria;Fruta, Proteína, Vegetal;Carnes Rojas, Dulce, Hortalizas
99A;Salmón con salsa de menta;(120g) salmón, (0.5 ud) aguacate, (2 cdas) yogur griego, (1 ud) zanahoria, (2 hojas) menta;Sartén y Trituradora;20;380;Haz el salmón a la plancha. Tritura el aguacate con yogur, menta, limón y la zanahoria cocida para crear la salsa base.;Aguacate, Salmón, Yogur, Zanahoria;Fruta, Lácteo, Proteína, Vegetal;Grasas, Hortalizas, Pescado Azul, Yogures
100A;Caballa al microondas;(1 lomo) caballa, (1 diente) ajo, (2 cdas) alcaparras, (0.5 ud) limón;Microondas;10;310;Pon la caballa en un estuche de vapor con ajo, alcaparras y limón. Cocina 7 min a máxima potencia. Acompaña con ensalada.;Ajo, limón;Fruta, Vegetal;Bulbos, Cítrico
99C;Ensalada de mango y burrata;(1 bola) burrata, (0.5 ud) mango, (6 uds) langostinos, (1 ud) calabacín en hélices, (1 cda) sésamo;Ensamblaje;5;390;Corta el calabacín en tiras finas (tipo pasta) y mezcla con dados de mango, los langostinos cocidos y la burrata en el centro.;calabacín, Langostinos, Mango, Sésamo;Fruta, Grasas, Proteína, Vegetal;Dulce, Hortalizas, Marisco, Semillas
100C;Espinacas con gambas y queso;(1 puñado) Espinacas, (100g) gambas, (2 cdas) queso ricotta, (1 diente) ajo;Sartén;10;280;Saltea el ajo con las gambas. Añade las espinacas hasta que reduzcan. Fuera del fuego, añade la ricotta para dar cremosidad.;Ajo, Espinacas, Gambas, Queso;Lácteo, Proteína, Vegetal;Bulbos, Hoja Verde, Marisco, Quesos
101A;Solomillo de cerdo en salsa de champiñones;(150g) solomillo, (1 ud) cebolla, (6 uds) champiñones, (100ml) leche evaporada, (1 diente) ajo, (1 cda) AOVE;Sartén;25;380;Sofríe cebolla, ajo y champiñones. Tritura parte de la mezcla con la leche evaporada para crear la salsa. Cocina el solomillo y sirve con la salsa reducida.;AOVE, Ajo, Cebolla, Champiñones, Leche, Piñones;Despensa, Grasas, Vegetal;Aceites, Bulbos, Frutos Secos, Líquidos, Setas
102A;Tortilla pizza con ensalada;(2 uds) huevos, (1 ud) tomate, (1 loncha) jamón cocido, (20g) mozzarella, (0.5 ud) cebolla;Sartén;15;340;Haz una tortilla fina, añade cebolla, tomate, jamón y queso encima. Tapa hasta que el queso funda. Acompaña con ensalada verde.;Cebolla, Huevo, Tomate;Proteína, Vegetal;Bulbos, Hortalizas, Huevos
103A;Ensalada César con salsa de yogur;(1 filete) pechuga pollo, (1 puñado) lechuga, (20g) pan integral, (125g) yogur griego, (al gusto) limón y especias;Ensamblaje;15;360;Prepara la salsa mezclando yogur, limón y especias. Mezcla con la lechuga, el pollo a la plancha y el pan integral tostado tipo picatostes.;Especias, Lechuga, limón, Pan, Pollo, Yogur;Carbohidrato, Despensa, Fruta, Lácteo, Proteína, Vegetal;Carnes Blancas, Cereales, Condimentos, Cítrico, Hoja Verde, Yogures
104A;Rollo de calabacín;(1 ud) calabacín, (1 ud) huevo, (1 loncha) jamón cocido, (1 loncha) queso tierno;Horno;30;320;Ralla el calabacín y escúrrelo muy bien. Mezcla con huevo y especias, extiende en bandeja y hornea 20 min. Rellena con jamón y queso, enrolla y hornea 5 min más.;calabacín, Huevo, Queso;Lácteo, Proteína, Vegetal;Hortalizas, Huevos, Quesos
105A;Pastel de puerros y champiñones;(1 ud) puerro, (0.5 ud) cebolla, (0.5 bandeja) champiñones, (3 uds) huevos, (100ml) leche evaporada, (50g) queso;Horno;35;390;Bate huevos con leche, queso y especias. Añade las verduras salteadas y hornea 30 min a 180 grados hasta que cuaje.;Cebolla, Champiñones, Huevo, Leche, Piñones, Puerro, Queso;Despensa, Grasas, Lácteo, Proteína, Vegetal;Bulbos, Frutos Secos, Huevos, Líquidos, Quesos, Setas
106A;Aguacates rellenos de salmón;(1 ud) aguacate, (1 ud) tomate, (0.5 ud) cebolla, (2 lonchas) salmón ahumado, (1 cda) queso untar;Ensamblaje;10;350;Vacía el aguacate y mezcla la pulpa con tomate, cebolla, salmón picado y queso. Rellena la cáscara con la mezcla y añade limón.;Aguacate, Cebolla, Queso, Salmón, Tomate;Fruta, Lácteo, Proteína, Vegetal;Bulbos, Grasas, Hortalizas, Pescado Azul, Quesos
107A;Pimientos rellenos de carne;(2 uds) pimientos grandes, (150g) carne picada ternera, (0.5 ud) cebolla, (2 cdas) tomate natural, (20g) queso rallado;Horno;30;360;Limpia los pimientos y hornéalos 10 min. Aparte, saltea la carne con cebolla y tomate. Rellena los pimientos, añade queso y gratina 15 min más.;Cebolla, Pimiento, Queso, Ternera, Tomate;Lácteo, Proteína, Vegetal;Bulbos, Carnes Rojas, Hortalizas, Quesos
108A;Crema fría de pepino;(2 uds) pepinos, (1 ud) yogur griego, (1 diente) ajo, (1 cda) AOVE, (unas hojas) menta;Trituradora;10;190;Pela los pepinos y tritura con el yogur, ajo y menta. Sirve muy frío. Es una receta altamente hidratante para el verano.;AOVE, Ajo, Pepino, Yogur;Grasas, Lácteo, Vegetal;Aceites, Bulbos, Hortalizas, Yogures
107C;Boquerones al horno con patatas;(150g) boquerones, (1 ud) patata grande, (1 diente) ajo, (1 cda) AOVE, perejil;Horno;20;320;Corta la patata en láminas muy finas (tipo chips). Hornéalas con poco aceite hasta que doren. Añade los boquerones con ajo y perejil encima y hornea 5 min más.;AOVE, Ajo, Boquerones, Patata;Carbohidrato, Grasas, Proteína, Vegetal;Aceites, Bulbos, Pescado Azul, Tubérculos
108C;Saquitos de repollo rellenos de pollo;(4 hojas) repollo o col, (120g) pollo picado, (0.5 ud) zanahoria, (1 cda) salsa soja;Olla y Sartén;20;290;Escalda las hojas de col. Saltea el pollo con zanahoria y soja. Rellena las hojas formando saquitos y ciérralos. Cocina al vapor o Sartén 5 min.;Col, Pollo, Soja, Zanahoria;Despensa, Proteína, Vegetal;Carnes Blancas, Crucíferas, Hortalizas, Salsas
109A;Ensalada de garbanzos con salsa cremosa;(100g) garbanzos cocidos, (1 ud) tomate, (1 ud) pepino, (2 cdas) tahini o yogur, (1 cda) comino;Ensamblaje;10;340;Mezcla los garbanzos con el tomate y pepino troceados. Haz una salsa con el tahini, limón y comino. Mezcla bien para que quede cremosa.;Garbanzos, Pepino, Tomate, Yogur;Lácteo, Proteína, Vegetal;Hortalizas, Legumbres, Yogures
110A;Sepia a la plancha;(150g) sepia, (1 diente) ajo, (1 puñado) perejil, (100g) ensalada verde;Sartén;12;280;Corta la sepia en dados y hazla a la plancha a fuego muy fuerte con ajo y perejil. Sirve sobre una base de lechugas variadas.;Ajo, Sepia;Proteína, Vegetal;Bulbos, Marisco
109C;Cazuela de acelgas con huevo;(200g) acelgas, (2 uds) huevos, (1 diente) ajo, (20g) piñones, (1 cda) pimentón;Sartén;15;260;Saltea el ajo con las acelgas. Añade los piñones y el pimentón. Haz dos huecos, casca los huevos dentro y tapa la Sartén hasta que cuajen.;Acelgas, Ajo, Huevo, Piñones;Grasas, Proteína, Vegetal;Bulbos, Frutos Secos, Hoja Verde, Huevos
110C;Ensalada de mango y burrata;(1 ud) burrata, (0.5 ud) mango, (1 puñado) rúcula, (10g) nueces, (1 cda) AOVE;Ensamblaje;5;390;Coloca la rúcula de base, añade el mango en láminas y la burrata en el centro. Decora con nueces y un hilo de aceite de oliva.;AOVE, Mango, Nueces, Rúcula;Fruta, Grasas, Vegetal;Aceites, Dulce, Frutos Secos, Hoja Verde
111A;Sardinas asadas con salsa de perejil;(150g) sardinas, (1 diente) ajo, (1 puñado) perejil fresco, (1 cda) AOVE, (100g) ensalada mixta;Sartén o Parrilla;12;290;Limpia las sardinas y ásalas a la plancha. Tritura el ajo con el perejil y el aceite para hacer una salsa verde y viértela por encima. Sirve con ensalada.;AOVE, Ajo, Sardinas;Grasas, Proteína, Vegetal;Aceites, Bulbos, Pescado Azul
112A;Salmón con costra de pistacho;(150g) salmón, (20g) pistachos, (1 cda) mostaza, (100g) espárragos;Horno;15;410;Pica los pistachos. Unta el salmón con mostaza, pega los pistachos y hornea 12 min. Acompaña con espárragos trigueros a la plancha.;espárragos, Pistachos, Salmón;Grasas, Proteína, Vegetal;Frutos Secos, Pescado Azul, Tallos
